DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,GETHOM,GETMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,OCUHOM,OCUMUJ,origen_archivo,PUEHOM,PUEMUJ,CIUOHOM,CIUOMUJ,depreg,mupreg,mesreg,añoreg,diaocu,mesocu,añoocu,depocu,mupocu,edadhom,edadmuj,grethom,gretmuj,nachom,nacmuj,escohom,escomuj,ocupahom,ocupamuj,AÑOOCU,PPERHOM,PPERMUJ
Peten,Dolores,Marzo,2012.0,16.0,Febrero,Peten,San Benito,Ignorado,33.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Estudiante,Oficiales de las fuerzas armadas,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos,El Tumbador,Mayo,2012.0,3.0,Febrero,San Marcos,Malacatán,35.0,30.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Ignorado,Oficiales de las fuerzas armadas,Directores generales y gerentes generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Abril,2012.0,27.0,Marzo,Guatemala,Guatemala,33.0,32.0,Ignorado,No indigena,Guatemala,Guatemala,Universitario,Universitario,Ingenieros civiles,Directores generales y gerentes generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Quiche,Sacapulas,Junio,2012.0,28.0,Mayo,Quiche,Santa Cruz del Quiché,31.0,28.0,Ignorado,No indigena,Guatemala,Guatemala,Ninguna,Diversificado,Operadores de máquinas y de instalaciones fijas no clasificados bajo otros epígrafes,Directores generales y gerentes generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Octubre,2012.0,12.0,Marzo,Guatemala,Guatemala,27.0,29.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Universitario,"Gerentes de sucursales de bancos, de servicios financieros y de seguros",Directores de recursos humanos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Febrero,2012.0,9.0,Enero,Guatemala,Guatemala,37.0,30.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Directores de administración y servicios no clasificados bajo otros epígrafes,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Agosto,2012.0,11.0,Junio,Guatemala,Guatemala,41.0,42.0,No indigena,Ignorado,Guatemala,Guatemala,Universitario,Universitario,Directores de administración y servicios no clasificados bajo otros epígrafes,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Mixco,Octubre,2012.0,12.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,El Salvador,Guatemala,Ignorado,Ignorado,Directores de administración y servicios no clasificados bajo otros epígrafes,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Noviembre,2012.0,3.0,Agosto,Guatemala,Guatemala,36.0,30.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Analistas de gestión y organización,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Septiembre,2012.0,29.0,Febrero,Guatemala,Guatemala,46.0,37.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Analistas de sistemas,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Julio,2012.0,20.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales en derecho no clasificados bajo otros epígrafes,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Agosto,2012.0,16.0,Mayo,Guatemala,Guatemala,38.0,35.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Universitario,Técnicos de radiodifusión y grabación audio visual,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Quetzaltenango,Quetzaltenango,Abril,2013.0,30.0,Mayo,Quetzaltenango,Quetzaltenango,35.0,35.0,Indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Vendedores no clasificados bajo otros epígrafes,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Jutiapa,Moyuta,Enero,2013.0,13.0,Febrero,Jutiapa,Jutiapa,Ignorado,33.0,Ignorado,No indigena,Estados Unidos de América,Guatemala,Ignorado,Diversificado,Mecánicos y reparadores de motores de avión,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacatepequez,Santiago Sacatepéquez,Abril,2012.0,10.0,Abril,Guatemala,Villa Nueva,36.0,38.0,No indigena,No indigena,Guatemala,Guatemala,Básico,Diversificado,Estudiante,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Escuintla,Escuintla,Octubre,2012.0,25.0,Julio,Escuintla,Escuintla,27.0,27.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Estudiante,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Verapaz,Cobán,Abril,2013.0,20.0,Septiembre,Alta Verapaz,Cobán,29.0,26.0,Indigena,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Estudiante,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Marzo,2012.0,21.0,Febrero,Guatemala,Guatemala,35.0,33.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Universitario,Estudiante,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Marzo,2012.0,26.0,Enero,Guatemala,Guatemala,45.0,41.0,No indigena,No indigena,Guatemala,Guatemala,Básico,Universitario,Ocupacion no bien especificada,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Mixco,Marzo,2012.0,13.0,Enero,Guatemala,Guatemala,41.0,35.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ocupacion no bien especificada,Directores de administración y servicios no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Amatitlán,Noviembre,2012.0,7.0,Agosto,Guatemala,Amatitlán,34.0,33.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Diversificado,Albañiles,Directores de ventas y comercialización,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Noviembre,2012.0,18.0,Octubre,Guatemala,Guatemala,39.0,32.0,Ignorado,No indigena,Guatemala,Guatemala,Ninguna,Diversificado,Estudiante,Directores de ventas y comercialización,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Mixco,Junio,2012.0,6.0,Marzo,Guatemala,Mixco,37.0,36.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Ignorado,Profesionales de la publicidad y la comercialización,Químicos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Suchitepequez,Mazatenango,Marzo,2012.0,20.0,Febrero,Suchitepequez,Mazatenango,32.0,30.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Agrónomos y afines,Agrónomos y afines,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Enero,2013.0,6.0,Septiembre,Guatemala,Guatemala,32.0,28.0,Ignorado,No indigena,Guatemala,Guatemala,Universitario,Universitario,Ingenieros civiles,Ingenieros químicos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Mayo,2012.0,23.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ingenieros mecánicos,Ingenieros no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Octubre,2012.0,3.0,Octubre,Guatemala,Villa Nueva,31.0,28.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Universitario,Ingenieros no clasificados bajo otros epígrafes,Ingenieros no clasificados bajo otros epígrafes,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Enero,2013.0,15.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ingenieros electrónicos,Ingenieros electricistas,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Septiembre,2012.0,25.0,Julio,Guatemala,Guatemala,30.0,29.0,Ignorado,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Médicos generales,Ingenieros electrónicos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Quiche,Chichicastenango,Febrero,2013.0,18.0,Octubre,Guatemala,Guatemala,32.0,31.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Universitario,Arquitectos,Arquitectos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Noviembre,2012.0,19.0,Julio,Guatemala,Guatemala,28.0,29.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Ignorado,Arquitectos,Arquitectos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Enero,2013.0,22.0,Noviembre,Guatemala,Guatemala,41.0,38.0,No indigena,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Arquitectos,Arquitectos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Febrero,2013.0,12.0,Septiembre,Guatemala,Guatemala,Ignorado,49.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Universitario,Maestros de enseñanza primaria,Arquitectos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Julio,2012.0,29.0,Febrero,Guatemala,Guatemala,25.0,23.0,Ignorado,No indigena,Guatemala,Guatemala,Ninguna,Universitario,Estudiante,Arquitectos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Villa Nueva,Julio,2012.0,18.0,Abril,Guatemala,Villa Nueva,27.0,32.0,Ignorado,No indigena,Guatemala,Guatemala,Ninguna,Universitario,Estudiante,Arquitectos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Noviembre,2012.0,30.0,Abril,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Directores de administración y servicios no clasificados bajo otros epígrafes,Diseñadores gráficos y multimedia,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Santa Catarina Pinula,Agosto,2012.0,24.0,Abril,Guatemala,Guatemala,47.0,47.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Ingenieros mecánicos,Diseñadores gráficos y multimedia,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Noviembre,2012.0,10.0,Agosto,Guatemala,Guatemala,26.0,23.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Universitario,Diseñadores gráficos y multimedia,Diseñadores gráficos y multimedia,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Junio,2012.0,30.0,Abril,Guatemala,Guatemala,38.0,37.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Médicos especialistas,Diseñadores gráficos y multimedia,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Amatitlán,Junio,2013.0,27.0,Noviembre,Guatemala,Guatemala,48.0,45.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Chefs,Diseñadores gráficos y multimedia,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Febrero,2012.0,19.0,Enero,Guatemala,Guatemala,33.0,31.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Universitario,Comerciantes de tiendas,Diseñadores gráficos y multimedia,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Mayo,2012.0,5.0,Enero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ingenieros mecánicos,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Septiembre,2012.0,17.0,Agosto,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ingenieros químicos,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Junio,2012.0,27.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Universitario,Ignorado,Médicos generales,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Febrero,2013.0,5.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Médicos generales,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Agosto,2012.0,6.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Médicos generales,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Octubre,2012.0,5.0,Julio,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Médicos generales,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Mayo,2012.0,22.0,Marzo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Médicos generales,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Diciembre,2012.0,20.0,Junio,Guatemala,Guatemala,32.0,31.0,No indigena,Ignorado,Guatemala,Guatemala,Universitario,Universitario,Médicos especialistas,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Julio,2012.0,6.0,Marzo,Guatemala,Guatemala,29.0,31.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Médicos especialistas,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Mayo,2012.0,5.0,Enero,El Progreso,Guastatoya,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Trabajadores y asistentes sociales de nivel medio,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Escuintla,Santa Lucía Cotzumalguapa,Agosto,2012.0,13.0,Marzo,Escuintla,Santa Lucía Cotzumalguapa,Ignorado,Ignorado,No indigena,No indigena,Guatemala,Guatemala,Ninguna,Ignorado,Comerciantes de tiendas,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Agosto,2012.0,16.0,Abril,Guatemala,Guatemala,Ignorado,52.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Universitario,Comerciantes de tiendas,Médicos generales,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Solola,Panajachel,Diciembre,2012.0,2.0,Noviembre,Solola,Sololá,43.0,44.0,Ignorado,Ignorado,Guatemala,Alemania,Universitario,Ignorado,Médicos generales,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Agosto,2012.0,31.0,Mayo,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Profesionales de enfermería,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Huehuetenango,Ixtahuacán,Octubre,2012.0,3.0,Agosto,Huehuetenango,Ixtahuacán,22.0,23.0,Ignorado,Ignorado,Guatemala,Guatemala,Diversificado,Diversificado,Maestros de enseñanza primaria,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Retalhuleu,Retalhuleu,Julio,2012.0,6.0,Febrero,Retalhuleu,Retalhuleu,31.0,34.0,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,Empleados de contabilidad y cálculo de costos,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Enero,2013.0,4.0,Octubre,Guatemala,Guatemala,44.0,36.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Ignorado,Empleados de contabilidad y cálculo de costos,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Abril,2012.0,8.0,Febrero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,No indigena,Guatemala,Estados Unidos de América,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,Cuilapa,Abril,2012.0,6.0,Enero,Santa Rosa,Cuilapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agricultores y trabajadores calificados de cultivos extensivos,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Abril,2013.0,21.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Carpinteros de armar y de obra blanca,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos,San Pedro Sacatepéquez,Junio,2012.0,20.0,Enero,San Marcos,Malacatán,53.0,51.0,No indigena,No indigena,Guatemala,Guatemala,Primaria,Diversificado,"Sastres, modistos, peleteros y sombrereros",Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Amatitlán,Septiembre,2012.0,18.0,Junio,Guatemala,Amatitlán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ninguna,Ignorado,"Conductores de automóviles, taxis y camionetas",Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Enero,2013.0,21.0,Agosto,Guatemala,Guatemala,Ignorado,43.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Estudiante,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Abril,2013.0,28.0,Diciembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Estudiante,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Quetzaltenango,Quetzaltenango,Marzo,2013.0,3.0,Septiembre,Quetzaltenango,Quetzaltenango,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Estudiante,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Verapaz,San Pedro Carchá,Noviembre,2012.0,1.0,Octubre,Alta Verapaz,Cobán,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Estudiante,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Verapaz,Panzós,Diciembre,2012.0,11.0,Enero,Alta Verapaz,Cobán,35.0,34.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Ignorado,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja Verapaz,Rabinal,Febrero,2012.0,11.0,Enero,Alta Verapaz,Cobán,Ignorado,34.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Ignorado,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos,Ocós,Abril,2013.0,19.0,Diciembre,Suchitepequez,Mazatenango,28.0,26.0,No indigena,No indigena,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Profesionales de enfermería,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Enero,2013.0,30.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Panamá,Guatemala,Ignorado,Ignorado,Asesores financieros y en inversiones,Veterinarios,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Mixco,Marzo,2013.0,2.0,Octubre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agrónomos y afines,Dentistas,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Quetzaltenango,Salcajá,Octubre,2012.0,16.0,Agosto,Totonicapan,Totonicapán,34.0,30.0,Indigena,No indigena,Guatemala,Guatemala,Ignorado,Diversificado,Estudiante,Farmacéuticos,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Abril,2012.0,23.0,Enero,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Honduras,Ignorado,Ignorado,Oficiales de las fuerzas armadas,Dietistas y nutricionistas,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Retalhuleu,San Sebastián,Abril,2013.0,15.0,Marzo,Solola,San Pablo la Laguna,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Costa Rica,Ignorado,Ignorado,Agrónomos y afines,Dietistas y nutricionistas,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Octubre,2012.0,11.0,Septiembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Ingenieros electrónicos,Dietistas y nutricionistas,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Febrero,2013.0,21.0,Septiembre,Guatemala,Guatemala,30.0,28.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Artistas creativos e interpretativos no clasificados bajo otros epígrafes,Dietistas y nutricionistas,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Suchitepequez,Mazatenango,Octubre,2012.0,3.0,Octubre,Suchitepequez,Mazatenango,64.0,57.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Ignorado,Médicos generales,Profesores de formación profesional,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacatepequez,San Bartolomé Milpas Altas,Agosto,2012.0,15.0,Mayo,Sacatepequez,Antigua Guatemala,33.0,31.0,No indigena,No indigena,Guatemala,Guatemala,Universitario,Universitario,Empleados de contabilidad y cálculo de costos,Profesores de formación profesional,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Noviembre,2012.0,22.0,Agosto,Guatemala,Guatemala,32.0,38.0,No indigena,No indigena,Guatemala,Guatemala,Diversificado,Universitario,"Conductores de automóviles, taxis y camionetas",Profesores de formación profesional,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,San José Pinula,Septiembre,2012.0,19.0,Abril,Guatemala,Guatemala,24.0,27.0,No indigena,No indigena,Guatemala,Guatemala,Ninguna,Universitario,Estudiante,Profesores de formación profesional,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Verapaz,Cobán,Septiembre,2012.0,1.0,Febrero,Alta Verapaz,Cobán,40.0,39.0,Indigena,Indigena,Guatemala,Guatemala,Diversificado,Universitario,Estudiante,Profesores de formación profesional,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,Cuilapa,Septiembre,2012.0,22.0,Junio,Santa Rosa,Cuilapa,41.0,41.0,Ignorado,No indigena,Guatemala,Guatemala,Diversificado,Universitario,Estudiante,Profesores de formación profesional,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Abril,2012.0,12.0,Marzo,Guatemala,Guatemala,29.0,30.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Universitario,Estudiante,Profesores de formación profesional,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Escuintla,Iztapa,Mayo,2012.0,3.0,Mayo,El Progreso,Guastatoya,Ignorado,40.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Universitario,Estudiante,Profesores de formación profesional,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Suchitepequez,Santa Bárbara,Septiembre,2012.0,27.0,Julio,Suchitepequez,Mazatenango,35.0,34.0,Ignorado,No indigena,Guatemala,Guatemala,Ignorado,Universitario,Ignorado,Profesores de formación profesional,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Febrero,2013.0,22.0,Noviembre,Guatemala,Guatemala,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Oficiales de las fuerzas armadas,Maestros de enseñanza primaria,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Escuintla,Santa Lucía Cotzumalguapa,Octubre,2012.0,16.0,Agosto,Escuintla,Santa Lucía Cotzumalguapa,24.0,23.0,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Diversificado,Directores de administración y servicios no clasificados bajo otros epígrafes,Maestros de enseñanza primaria,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Guatemala,Abril,2013.0,2.0,Octubre,Guatemala,Villa Nueva,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agrónomos y afines,Maestros de enseñanza primaria,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacapa,Zacapa,Septiembre,2012.0,31.0,Julio,Zacapa,Zacapa,Ignorado,Ignorado,Ignorado,Ignorado,Guatemala,Guatemala,Ignorado,Ignorado,Agrónomos y afines,Maestros de enseñanza primaria,Divorcios12.sav,,,,,,,,,,,,,,,,,,,,,,,,,,
